canonical_title,authors,year,primary_key,official_course_relevance,source_url,arxiv_abs_url,arxiv_eprint_url,official_pdf_url,local_folder,merged_tex_path,status
Gemma,Google DeepMind,,gemma,2026 model-recipes-open-models,https://arxiv.org/pdf/2403.08295.pdf,https://arxiv.org/abs/2403.08295,https://arxiv.org/e-print/2403.08295,https://arxiv.org/e-print/2403.08295,papers/normalized/gemma,papers/merged_tex/gemma.tex,tex_source
GPT 3,OpenAI,,gpt_3,2026 model-recipes-open-models,https://arxiv.org/pdf/2005.14165.pdf,https://arxiv.org/abs/2005.14165,https://arxiv.org/e-print/2005.14165,https://arxiv.org/e-print/2005.14165,papers/normalized/gpt_3,papers/merged_tex/gpt_3.tex,tex_source
GPT Neox,EleutherAI,,gpt_neox,2026 model-recipes-open-models,https://arxiv.org/pdf/2204.06745.pdf,https://arxiv.org/abs/2204.06745,https://arxiv.org/e-print/2204.06745,https://arxiv.org/e-print/2204.06745,papers/normalized/gpt_neox,papers/merged_tex/gpt_neox.tex,tex_source
GPT-J,EleutherAI,2021,gpt_j,2026 model-recipes-open-models,https://arankomatsuzaki.wordpress.com/2021/06/04/gpt-j/,,,,papers/normalized/gpt_j,,pdf_only
Huanyuan Large,Tencent,,huanyuan_large,2026 model-recipes-open-models,https://arxiv.org/abs/2411.02265,https://arxiv.org/abs/2411.02265,https://arxiv.org/e-print/2411.02265,https://arxiv.org/e-print/2411.02265,papers/normalized/huanyuan_large,papers/merged_tex/huanyuan_large.tex,tex_source
Language Models are Unsupervised Multitask Learners,OpenAI,2019,gpt2,2026 model-recipes-open-models,https://cdn.openai.com/better-language-models/language_models_are_unsupervised_multitask_learners.pdf,,,,papers/normalized/language_models_are_unsupervised_multitask_learners,,pdf_only
LLAMA,Meta,,llama,2026 model-recipes-open-models,https://arxiv.org/pdf/2302.13971.pdf,https://arxiv.org/abs/2302.13971,https://arxiv.org/e-print/2302.13971,https://arxiv.org/e-print/2302.13971,papers/normalized/llama,papers/merged_tex/llama.tex,tex_source
Llama 4,Meta,2025,llama4,2026 model-recipes-open-models,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,,,,papers/normalized/llama_4,,pdf_only
LLAMA2,Meta,,llama2,2026 model-recipes-open-models,https://arxiv.org/pdf/2307.09288.pdf,https://arxiv.org/abs/2307.09288,https://arxiv.org/e-print/2307.09288,https://arxiv.org/e-print/2307.09288,papers/normalized/llama2,papers/merged_tex/llama2.tex,tex_source
LLAMA3,Meta,,llama3,2026 model-recipes-open-models,https://arxiv.org/abs/2407.21783,https://arxiv.org/abs/2407.21783,https://arxiv.org/e-print/2407.21783,https://arxiv.org/e-print/2407.21783,papers/normalized/llama3,papers/merged_tex/llama3.tex,tex_source
Minicpm,Tsinghua,,minicpm,2026 model-recipes-open-models,https://arxiv.org/pdf/2404.06395.pdf,https://arxiv.org/abs/2404.06395,https://arxiv.org/e-print/2404.06395,https://arxiv.org/e-print/2404.06395,papers/normalized/minicpm,papers/merged_tex/minicpm.tex,tex_source
OLMo 2 (32B),AI2,,olmo2_32b,2026 model-recipes-open-models,https://allenai.org/blog/olmo2-32B,,,,papers/normalized/olmo_2_(32b),,pdf_only
OLMO 3,,,olmo_3_2025,2026 model-recipes-open-models,https://arxiv.org/abs/2512.13961,https://arxiv.org/abs/2512.13961,https://arxiv.org/e-print/2512.13961,https://arxiv.org/e-print/2512.13961,papers/normalized/olmo_3,papers/merged_tex/olmo_3.tex,tex_source
OLMO 7B,AI2,,olmo_7b,2026 model-recipes-open-models,https://arxiv.org/pdf/2402.00838.pdf,https://arxiv.org/abs/2402.00838,https://arxiv.org/e-print/2402.00838,https://arxiv.org/e-print/2402.00838,papers/normalized/olmo_7b,papers/merged_tex/olmo_7b.tex,tex_source
OLMO2,AI2,,olmo2,2026 model-recipes-open-models,https://arxiv.org/abs/2501.00656,https://arxiv.org/abs/2501.00656,https://arxiv.org/e-print/2501.00656,https://arxiv.org/e-print/2501.00656,papers/normalized/olmo2,papers/merged_tex/olmo2.tex,tex_source
QWEN 2 5,Alibaba,,qwen_2_5,2026 model-recipes-open-models,https://arxiv.org/abs/2412.15115,https://arxiv.org/abs/2412.15115,https://arxiv.org/e-print/2412.15115,https://arxiv.org/e-print/2412.15115,papers/normalized/qwen_2_5,papers/merged_tex/qwen_2_5.tex,tex_source
Yi 34B,01.AI,,yi_34b,2026 model-recipes-open-models,https://arxiv.org/pdf/2403.04652.pdf,https://arxiv.org/abs/2403.04652,https://arxiv.org/e-print/2403.04652,https://arxiv.org/e-print/2403.04652,papers/normalized/yi_34b,papers/merged_tex/yi_34b.tex,tex_source
Adagrad,,2011,adagrad_2011,2026 optimization-scaling,https://www.jmlr.org/papers/volume12/duchi11a/duchi11a.pdf,,,,papers/normalized/adagrad,,pdf_only
ADAM2014,,,adam2014,2026 optimization-scaling,https://arxiv.org/pdf/1412.6980.pdf,https://arxiv.org/abs/1412.6980,https://arxiv.org/e-print/1412.6980,https://arxiv.org/e-print/1412.6980,papers/normalized/adam2014,papers/merged_tex/adam2014.tex,tex_source
ADAMW2017,,,adamw2017,2026 optimization-scaling,https://arxiv.org/pdf/1711.05101.pdf,https://arxiv.org/abs/1711.05101,https://arxiv.org/e-print/1711.05101,https://arxiv.org/e-print/1711.05101,papers/normalized/adamw2017,papers/merged_tex/adamw2017.tex,tex_source
Chinchilla,DeepMind,,chinchilla,2026 optimization-scaling,https://arxiv.org/pdf/2203.15556.pdf,https://arxiv.org/abs/2203.15556,https://arxiv.org/e-print/2203.15556,https://arxiv.org/e-print/2203.15556,papers/normalized/chinchilla,papers/merged_tex/chinchilla.tex,tex_source
Cosine Learning Rate,,,cosine_learning_rate_2017,2026 optimization-scaling,https://arxiv.org/pdf/1608.03983.pdf,https://arxiv.org/abs/1608.03983,https://arxiv.org/e-print/1608.03983,https://arxiv.org/e-print/1608.03983,papers/normalized/cosine_learning_rate,papers/merged_tex/cosine_learning_rate.tex,tex_source
Kaplan Scaling Laws,OpenAI,,kaplan_scaling_laws_2020,2026 optimization-scaling,https://arxiv.org/pdf/2001.08361.pdf,https://arxiv.org/abs/2001.08361,https://arxiv.org/e-print/2001.08361,https://arxiv.org/e-print/2001.08361,papers/normalized/kaplan_scaling_laws,papers/merged_tex/kaplan_scaling_laws.tex,tex_source
Large Batch Training,,,large_batch_training_2018,2026 optimization-scaling,https://arxiv.org/pdf/1812.06162.pdf,https://arxiv.org/abs/1812.06162,https://arxiv.org/e-print/1812.06162,https://arxiv.org/e-print/1812.06162,papers/normalized/large_batch_training,papers/merged_tex/large_batch_training.tex,tex_source
Muon: An optimizer for hidden layers in neural networks,,2024,muon,2026 optimization-scaling,https://kellerjordan.github.io/posts/muon/,,,,papers/normalized/muon_an_optimizer_for_hidden_layers_in_neural_networks,,pdf_only
MUP,,,mup_2022,2026 optimization-scaling,https://arxiv.org/abs/2203.03466,https://arxiv.org/abs/2203.03466,https://arxiv.org/e-print/2203.03466,https://arxiv.org/e-print/2203.03466,papers/normalized/mup,papers/merged_tex/mup.tex,tex_source
Overtrained Scaling Laws,,,overtrained_scaling_laws,2026 optimization-scaling,https://arxiv.org/pdf/2403.08540.pdf,https://arxiv.org/abs/2403.08540,https://arxiv.org/e-print/2403.08540,https://arxiv.org/e-print/2403.08540,papers/normalized/overtrained_scaling_laws,papers/merged_tex/overtrained_scaling_laws.tex,tex_source
Soap,,,soap,2026 optimization-scaling,https://arxiv.org/abs/2409.11321,https://arxiv.org/abs/2409.11321,https://arxiv.org/e-print/2409.11321,https://arxiv.org/e-print/2409.11321,papers/normalized/soap,papers/merged_tex/soap.tex,tex_source
Understanding the difficulty of training deep feedforward neural networks,,2010,glorot_2010,2026 optimization-scaling,https://proceedings.mlr.press/v9/glorot10a/glorot10a.pdf,,,,papers/normalized/understanding_the_difficulty_of_training_deep_feedforward_neural_networks,,pdf_only
Wrap,,,wrap_2024,2026 optimization-scaling,https://arxiv.org/abs/2401.16380,https://arxiv.org/abs/2401.16380,https://arxiv.org/e-print/2401.16380,https://arxiv.org/e-print/2401.16380,papers/normalized/wrap,papers/merged_tex/wrap.tex,tex_source
Bloom,BigScience,,bloom,2026 systems-parallelism,https://arxiv.org/abs/2211.05100,https://arxiv.org/abs/2211.05100,https://arxiv.org/e-print/2211.05100,https://arxiv.org/e-print/2211.05100,papers/normalized/bloom,papers/merged_tex/bloom.tex,tex_source
FlashAttention-2: Faster Attention with Better Parallelism and Work Partitioning,,2023,flashattention2_2023,2026 systems-parallelism,https://arxiv.org/abs/2307.08691,https://arxiv.org/abs/2307.08691,https://arxiv.org/e-print/2307.08691,https://arxiv.org/e-print/2307.08691,papers/normalized/flashattention_2_faster_attention_with_better_parallelism_and_work_partitioning,papers/merged_tex/flashattention_2_faster_attention_with_better_parallelism_and_work_partitioning.tex,tex_source
FlashAttention: Fast and Memory-Efficient Exact Attention with IO-Awareness,,2022,flashattention_2022,2026 systems-parallelism,https://arxiv.org/abs/2205.14135,https://arxiv.org/abs/2205.14135,https://arxiv.org/e-print/2205.14135,https://arxiv.org/e-print/2205.14135,papers/normalized/flashattention_fast_and_memory_efficient_exact_attention_with_io_awareness,papers/merged_tex/flashattention_fast_and_memory_efficient_exact_attention_with_io_awareness.tex,tex_source
Gpipe,Google,,gpipe_2018,2026 systems-parallelism,https://arxiv.org/pdf/1811.06965.pdf,https://arxiv.org/abs/1811.06965,https://arxiv.org/e-print/1811.06965,https://arxiv.org/e-print/1811.06965,papers/normalized/gpipe,papers/merged_tex/gpipe.tex,tex_source
Longcat Flash,,,longcat_flash_2025,2026 systems-parallelism,https://arxiv.org/abs/2509.01322,https://arxiv.org/abs/2509.01322,https://arxiv.org/e-print/2509.01322,https://arxiv.org/e-print/2509.01322,papers/normalized/longcat_flash,papers/merged_tex/longcat_flash.tex,tex_source
Megascale,Bytedance,,megascale,2026 systems-parallelism,https://arxiv.org/pdf/2402.15627.pdf,https://arxiv.org/abs/2402.15627,https://arxiv.org/e-print/2402.15627,https://arxiv.org/e-print/2402.15627,papers/normalized/megascale,papers/merged_tex/megascale.tex,tex_source
Megatron Lm,NVIDIA,,megatron_lm_2019,2026 systems-parallelism,https://arxiv.org/pdf/1909.08053.pdf,https://arxiv.org/abs/1909.08053,https://arxiv.org/e-print/1909.08053,https://arxiv.org/e-print/1909.08053,papers/normalized/megatron_lm,papers/merged_tex/megatron_lm.tex,tex_source
Megatron Parallelism,NVIDIA,,megatron_parallelism_2021,2026 systems-parallelism,https://arxiv.org/pdf/2104.04473.pdf,https://arxiv.org/abs/2104.04473,https://arxiv.org/e-print/2104.04473,https://arxiv.org/e-print/2104.04473,papers/normalized/megatron_parallelism,papers/merged_tex/megatron_parallelism.tex,tex_source
Nemotron 15B,NVIDIA,,nemotron_15b,2026 systems-parallelism,https://arxiv.org/pdf/2402.16819.pdf,https://arxiv.org/abs/2402.16819,https://arxiv.org/e-print/2402.16819,https://arxiv.org/e-print/2402.16819,papers/normalized/nemotron_15b,papers/merged_tex/nemotron_15b.tex,tex_source
Nemotron 3,,,nemotron_3_2025,2026 systems-parallelism,https://arxiv.org/abs/2512.20856,https://arxiv.org/abs/2512.20856,https://arxiv.org/e-print/2512.20856,https://arxiv.org/e-print/2512.20856,papers/normalized/nemotron_3,papers/merged_tex/nemotron_3.tex,tex_source
"Nemotron 3 Super: Open, Efficient Mixture-of-Experts Hybrid Mamba-Transformer Model for Agentic Reasoning",NVIDIA,2026,nemotron_3_super_2026,2026 systems-parallelism,https://research.nvidia.com/labs/nemotron/files/NVIDIA-Nemotron-3-Super-Technical-Report.pdf,,,,"papers/normalized/nemotron_3_super_open,_efficient_mixture_of_experts_hybrid_mamba_transformer_model_for_agentic_reasoning",,pdf_only
Nemotron Cc,,,nemotron_cc_2024,2026 systems-parallelism,https://arxiv.org/abs/2412.02595,https://arxiv.org/abs/2412.02595,https://arxiv.org/e-print/2412.02595,https://arxiv.org/e-print/2412.02595,papers/normalized/nemotron_cc,papers/merged_tex/nemotron_cc.tex,tex_source
Opt 175B,Meta,,opt_175b,2026 systems-parallelism,https://arxiv.org/pdf/2205.01068.pdf,https://arxiv.org/abs/2205.01068,https://arxiv.org/e-print/2205.01068,https://arxiv.org/e-print/2205.01068,papers/normalized/opt_175b,papers/merged_tex/opt_175b.tex,tex_source
Palm,Google,,palm,2026 systems-parallelism,https://arxiv.org/pdf/2204.02311.pdf,https://arxiv.org/abs/2204.02311,https://arxiv.org/e-print/2204.02311,https://arxiv.org/e-print/2204.02311,papers/normalized/palm,papers/merged_tex/palm.tex,tex_source
Triton: An Intermediate Language and Compiler for Tiled Neural Network Computations,,2019,triton_2019,2026 systems-parallelism,https://www.eecs.harvard.edu/~htk/publication/2019-mapl-tillet-kung-cox.pdf,,,,papers/normalized/triton_an_intermediate_language_and_compiler_for_tiled_neural_network_computations,,pdf_only
Zero,Microsoft,,zero_2019,2026 systems-parallelism,https://arxiv.org/abs/1910.02054,https://arxiv.org/abs/1910.02054,https://arxiv.org/e-print/1910.02054,https://arxiv.org/e-print/1910.02054,papers/normalized/zero,papers/merged_tex/zero.tex,tex_source
BLT,,,blt,2026 tokenization-data,https://arxiv.org/abs/2412.09871,https://arxiv.org/abs/2412.09871,https://arxiv.org/e-print/2412.09871,https://arxiv.org/e-print/2412.09871,papers/normalized/blt,papers/merged_tex/blt.tex,tex_source
BYT5,,,byt5,2026 tokenization-data,https://arxiv.org/abs/2105.13626,https://arxiv.org/abs/2105.13626,https://arxiv.org/e-print/2105.13626,https://arxiv.org/e-print/2105.13626,papers/normalized/byt5,papers/merged_tex/byt5.tex,tex_source
DCLM,,,dclm_2024,2026 tokenization-data,https://arxiv.org/abs/2406.11794,https://arxiv.org/abs/2406.11794,https://arxiv.org/e-print/2406.11794,https://arxiv.org/e-print/2406.11794,papers/normalized/dclm,papers/merged_tex/dclm.tex,tex_source
Dolma,,,dolma,2026 tokenization-data,https://arxiv.org/abs/2402.00159,https://arxiv.org/abs/2402.00159,https://arxiv.org/e-print/2402.00159,https://arxiv.org/e-print/2402.00159,papers/normalized/dolma,papers/merged_tex/dolma.tex,tex_source
Megabyte,,,megabyte,2026 tokenization-data,https://arxiv.org/pdf/2305.07185.pdf,https://arxiv.org/abs/2305.07185,https://arxiv.org/e-print/2305.07185,https://arxiv.org/e-print/2305.07185,papers/normalized/megabyte,papers/merged_tex/megabyte.tex,tex_source
OpenWebText,,2019,openwebtext,2026 tokenization-data,https://skylion007.github.io/OpenWebTextCorpus/,,,,papers/normalized/openwebtext,,pdf_only
Prediction and Entropy of Printed English,,1950,shannon1950,2026 tokenization-data,https://www.princeton.edu/~wbialek/rome/refs/shannon_51.pdf,,,,papers/normalized/prediction_and_entropy_of_printed_english,,pdf_only
Regmix,,,regmix_2025,2026 tokenization-data,https://arxiv.org/abs/2407.01492,https://arxiv.org/abs/2407.01492,https://arxiv.org/e-print/2407.01492,https://arxiv.org/e-print/2407.01492,papers/normalized/regmix,papers/merged_tex/regmix.tex,tex_source
Sennrich,,,sennrich_2016,2026 tokenization-data,https://arxiv.org/abs/1508.07909,https://arxiv.org/abs/1508.07909,https://arxiv.org/e-print/1508.07909,https://arxiv.org/e-print/1508.07909,papers/normalized/sennrich,papers/merged_tex/sennrich.tex,tex_source
T5,Google,,t5,2026 tokenization-data,https://arxiv.org/pdf/1910.10683.pdf,https://arxiv.org/abs/1910.10683,https://arxiv.org/e-print/1910.10683,https://arxiv.org/e-print/1910.10683,papers/normalized/t5,papers/merged_tex/t5.tex,tex_source
The Pile,EleutherAI,,the_pile,2026 tokenization-data,https://arxiv.org/pdf/2101.00027.pdf,https://arxiv.org/abs/2101.00027,https://arxiv.org/e-print/2101.00027,https://arxiv.org/e-print/2101.00027,papers/normalized/the_pile,papers/merged_tex/the_pile.tex,tex_source
